"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5729","@smoke register","chrome","2026-06-30","passed","2026-06-30","parabank test","TCcombine.spec.js","",""
"","3751","@smoke@regression login","chrome","2026-06-30","passed","2026-06-30","parabank test","TCcombine.spec.js","",""
